category,technique_name,description
协作,是而且接龙,用肯定加添加强化共创势头，让每个想法成为下一个的跳板（提示语：是的，而且我们还可以…／在这个想法上继续）——适合需要能量与连带的团队发散
协作,静默轮写,先静默写下想法再传阅并在他人的书面概念上续写（写→传→续三步），让安静的声音拿到同等贡献，同时天然留下文档
协作,随机刺激,拿随机词或图片当催化剂强制建立意外连接（问：这和随机元素有什么关系／存在什么连接），专治思维卡壳
协作,角色扮演,从多个利益相关方视角生成解法（问：他要什么／他会怎么处理／他最在意什么），既建共情又补全视角
协作,想法接力赛,限时快节奏接龙（30 秒内接一句、快速传递、立刻交棒），用紧迫感逼出突破、防止过度斟酌
创意,假如情景,用假如…质疑一切约束与假设（假如资源无限／假如反过来／假如这个问题不存在），破局专用
创意,类比思维,到别的领域找平行解法并迁移其成功模式（问：这像什么／和什么相似／还想到什么例子）
创意,反转倒置,把问题整个倒过来看以暴露隐藏假设（问：反过来做呢／怎么把它做得更糟／相反的做法是什么）——常规打法失效时用
创意,第一性原理,剥掉假设、从基本事实重建（问：我们确定知道什么／基本事实是什么／从零开始会怎样）——突破式创新必备
创意,强制关联,让两个不相关的概念撞在一起找桥（取两件不相干的东西→找连接点→看它们怎么协作），逼出意外解法
创意,时间位移,把解法放到不同时间尺度上考察（问：过去怎么做／100 年后呢／那个时代的约束是什么），暴露约束与机会
创意,隐喻映射,用一个延展隐喻当思维工具（这个难题像什么隐喻→延展它→把元素逐个对映射），把抽象挑战变成讲得清的故事
创意,跨界授粉,从完全不同的行业或领域搬解法（问：X 行业来做会怎样／Y 领域有什么成熟模式／Z 领域的做法怎么适配过来）
创意,概念融合,把两个以上既有概念合并出新类别（问：合并后涌现什么／造出什么新品类／怎么超越原概念）——不止于简单组合
创意,反向头脑风暴,专门生成问题而不是解法（问：哪里会出错／怎么让它失败／能造出什么新问题），从反面暴露机会
创意,感官探索,调动五感拓展纯分析的盲区（问：这个想法摸起来／闻起来／听起来像什么），发现多维解法空间
深度分析,连续五问,对现象连续追问为什么并逐层下钻（问：为什么会这样→继续往下问），治本不治标
深度分析,形态分析,对复杂系统系统枚举参数组合（列关键参数→每个参数列选项→试组合→看涌现模式），适合需要全面绘图的方案空间
深度分析,挑衅式刺激,用刻意的挑衅性陈述当跳板（问：如果这句话成立／这怎么可能有用／它触发什么想法→抽取原理），从荒诞起点里捞真货
深度分析,假设反转,逐条挑战并翻转核心假设后重建（问：我们在假设什么／反过来成立吗／从新假设重搭一遍）——范式转换时用
深度分析,问题风暴,先只生成问题不找答案、把问题空间定义清楚（问：我们还不知道什么／真正该问的是什么），确保解对了问题
深度分析,约束地图,把所有约束摊开画出来、再找绕过或打穿的路径（问：有哪些约束／哪些是真约束哪些是想当然／怎么绕开障碍）
深度分析,失败分析,研究「成功的失败」以吸取教训避开常见坑（问：哪里错了／为什么失败／教训是什么／怎么用到当下问题）
深度分析,涌现式思考,不强行线性推进、让解法自然浮现（问：出现了什么模式／什么在自然生长／系统想涌现什么）——拥抱复杂性
内省之乐,内在小孩会议,用七岁小孩式的好奇重新发问（问：七岁的你会问什么→连问为什么→把它变好玩→禁止无聊思考），用天真的问题穿透成年人的复杂
内省之乐,阴影挖掘,检视你正在回避或抗拒的东西（问：你在躲什么／哪里有抗拒／什么让你害怕），把埋着的洞见挖出来
内省之乐,价值观考古,往下挖到决策背后的价值观岩层（问：什么真正重要／为什么在意／什么是不可让的），厘清真实优先级
内省之乐,未来自我访谈,向更智慧的未来的自己请教（问：80 岁的你会对现在的你说什么／长远看会怎样），获取长时段的自我指导
内省之乐,身体智慧对话,让身体感受与直觉参与构思（问：身体在说什么／哪里最有感觉／紧张感指向什么），取用常被忽略的体感智能
内省之乐,许可授权,明确给自己一张「可以想不可能之事」的许可（允许探索、允许尝试、允许试验），拆掉自我设限的创意栅栏
结构化,SCAMPER 七镜头法,用七把镜头系统改造既有方案：替代（能换掉什么）／合并（能和什么并）／调整（怎么改）／修改（放大缩小什么）／挪用（还能怎么用）／消除（去掉什么）／重排（反过来怎样）——适合产品改良
结构化,六顶思考帽,用六种互不冲突的视角轮流看同一问题：白帽（事实）／红帽（情绪）／黄帽（收益）／黑帽（风险）／绿帽（创意）／蓝帽（流程），保证视角全面
结构化,思维导图,从中心概念向四周分叉（中心写主题→分叉出概念→再分叉子概念），把复杂想法可视化、看清全貌与连接
结构化,资源约束,人为施加极端限制逼出创新（假如只有 1 块钱／没有技术／一小时做完／只剩最少资源），逼出真正的优先级
结构化,决策树映射,画出所有决策路径与结局（有哪些岔路→决策点在哪→每个选择通向哪里），暴露隐藏的机会与风险
结构化,方案矩阵,把问题变量与解法路数做成网格逐格配对（列变量→列解法→试组合→找最优配对与空白格），顺带找出缺口
结构化,特质迁移,从别的领域借成功要素（问：X 靠什么特质成功／这些特质怎么搬过来／搬过来长什么样），系统化移植优势
戏剧化,时间旅行脱口秀,把过去／现在／未来的自己请来对谈（采访过去的自己→问未来的你会怎么说→比较不同时间线的看法），轻松换视角
戏剧化,外星人类学家,用完全外来的眼光看熟悉的问题（扮成外星观察者→问什么显得奇怪），暴露隐藏假设
戏剧化,梦境融合实验室,先给出不可能的幻想解法再倒推现实步骤（做梦→往回推→找出跨越的桥梁），把大目标变得可动手
戏剧化,情绪管弦乐队,让不同情绪各自领一小段构思再合奏（愤怒视角→欣喜视角→恐惧视角→希望视角→合成），借情绪智能补全视角
戏剧化,平行宇宙咖啡馆,在另一套现实规则下找解法（换物理定律／换社会规范／改历史事件／改现实规则），打破默认前提
戏剧化,人格面具之旅,借不同原型或人格面具取智慧（进入某个原型→问他会怎么解→看他能看见什么平常看不见的）
狂野,混沌工程,故意把东西弄坏以找出健壮解法（问：全盘崩坏会怎样／主动破坏／怎么优雅失败／怎么在废墟上重建），练反脆弱
狂野,游击园艺式创意,把解法种在意想不到的地方（问：最不可能的地方是哪／偷偷种下／让它在底下生长／突然亮相），用意外感做隐形创新
狂野,海盗法则头脑风暴,谁能干就学谁、不问许可地混改（问：海盗会偷什么／不问自取地混搭／拿走最好的就跑），鼓励快速试制与不守成规
狂野,僵尸末日预案,为极端生存场景设计解法（问：社会崩了会怎样／最基本的是什么／从零怎么搭／生存模式怎么想），剥到核心价值
狂野,醉汉说史式复述,用毫无包袱的简单话把复杂想法讲出来（像微醺一样讲／不过滤／说最生的想法／简化到荒诞），用表达去伪存真
