method,category,name,slug,description,prompts
创新策略,市场分析,TAM SAM SOM 分析,,按总体可得、可服务、可获得三层拆解市场机会规模，为务实规划提供依据,总体市场规模多大？|我们能实际服务多少？|近期能获得多少？|支撑这些数字的假设是什么？|增长有多快？
创新策略,市场分析,五力分析,,用五种力量评估产业结构与竞争动态，找出战略定位的机会,供应商议价力如何？|买方议价力如何？|竞争激烈程度如何？|替代品威胁如何？|新进入者威胁如何？|机会在哪里？
创新策略,市场分析,PESTLE 分析,,扫描政治、经济、社会、技术、法律、环境六类宏观因素，判断其对机会的影响,哪些政治因素影响我们？|经济趋势如何？|社会变化如何？|技术变化如何？|法律要求有哪些？|环境因素有哪些？|带来什么机会或威胁？
创新策略,市场分析,市场时机评估,,判断市场条件是否适合这次创新——太早太晚都会失败,必须先成立哪些条件？|现在什么在变？|用户准备好了吗？|技术足够成熟吗？|机会窗口有多宽？
创新策略,市场分析,竞争定位图,,在多维坐标系里呈现竞争格局，找空白区与差异化机会,哪些维度最重要？|竞争者各自在哪？|空白区在哪里？|我们的独特位置是什么？|这个位置守得住吗？
创新策略,商业模式,商业模式画布,,用九大模块映射并创新组织如何创造、传递、获取价值,客户细分是谁？|价值主张是什么？|渠道与客户关系如何？|收入来源有哪些？|关键资源、活动、伙伴是什么？|成本结构如何？
创新策略,商业模式,价值主张画布,,精确匹配客户的任务、痛点与收益，设计有说服力的价值主张,客户要完成什么任务？|他们有哪些痛点？|他们想要什么收益？|我们如何缓解痛点？|我们如何创造收益？|提供什么产品与服务？
创新策略,商业模式,商业模式模式库,,借其他行业已验证的商业模式模式，快速改造自己的模型,哪些模式可能适用？|订阅？免费增值？双边市场？剃刀与刀片？诱饵与钩子？|套用后模型会怎么变？
创新策略,商业模式,收入模式创新,,跳出传统定价，探索价值变现的其他方式,还能怎么收费？|按用量？按效果？按订阅？|客户愿意为什么付不同的钱？|有哪些新的收入来源？
创新策略,商业模式,成本结构创新,,重构成本结构，支撑新价格点或以极致效率改善毛利,最大的成本项是什么？|哪些可以砍掉或自动化？|哪些可以外包或共享？|固定成本怎么变成可变成本？
创新策略,颠覆,颠覆式创新理论,,看新进入者如何用更简单、更便宜的解，从被忽视的细分切入并超越在位者,非消费者是谁？|什么对他们算够用？|在位者的弱点在哪？|简单何以战胜精巧？|市场切入点在哪？
创新策略,颠覆,待办任务,,挖掘客户要完成的任务与他们为此雇用的解，暴露竞争者漏掉的需求,客户雇用它是为了完成什么任务？|他们要的是哪种进展？|他们现在用什么替代方案？|他们的挫败在哪里？|什么会让他们弃用这个解？
创新策略,颠覆,蓝海战略,,用价值创新让竞争变得无关，开辟无人争夺的市场空间,哪些要素可以剔除？|哪些应该减少？|哪些可以提升？|哪些应该创造？|蓝海在哪里？
创新策略,颠覆,跨越鸿沟,,以聚焦的滩头阵地策略，跨过早期采用者与主流市场之间的鸿沟,谁是创新者与早期采用者？|我们的滩头市场是哪个？|必须购买的理由是什么？|完整产品包含什么？|如何跨进主流？
创新策略,颠覆,平台革命,,把线性价值链改造成连接生产者与消费者的指数级平台生态,存在哪些网络效应？|生产者是谁？|消费者是谁？|我们促成什么交易？|如何达到临界规模？
创新策略,战略,三地平线框架,,在当前业务、新兴机会与未来可能之间平衡组合，支撑可持续增长,核心业务是什么？|新兴机会是什么？|未来可能是什么？|如何跨地平线投资？|需要哪些过渡？
创新策略,战略,精益创业方法,,构建-度量-学习快速循环，验证假设并高效迭代到产品市场契合,最危险的假设是什么？|最小可行产品是什么？|要度量什么？|学到了什么？|继续构建还是转向？
创新策略,战略,创新雄心矩阵,,按风险与影响在核心、相邻、变革三档之间配置创新组合,核心增强是什么？|相邻扩张是什么？|变革式突破是什么？|组合如何平衡？|什么是合适的配比？
创新策略,战略,战略意图塑造,,设定拉伸组织超越现有能力的雄心目标，驱动创新,我们的胆大目标是什么？|什么会改变整个行业？|什么看似不可能但很有价值？|我们的登月目标是什么？|必须建设什么能力？
创新策略,战略,情景规划,,推演多个可信未来，形成在不同结局下都成立的稳健战略,存在哪些关键不确定性？|可能出现哪些情景？|我们会如何应对？|哪些战略跨情景都成立？|要盯住哪些早期信号？
创新策略,价值链,价值链分析,,从原料到终端客户逐段映射活动，找价值创造与获取的位置,完整价值链是什么？|价值在哪里创造？|我们擅长哪些活动？|哪些可以外包？|哪里可以去掉中间环节？
创新策略,价值链,解绑分析,,找出拆分一体化价值链、专拿高价值环节的机会,现在捆在一起的是什么？|哪些可以拆开？|价值最集中的在哪？|客户愿意为什么单独付费？|谁还能提供这些部件？
创新策略,价值链,平台生态设计,,架构多边平台，用网络效应与更低的交易成本创造价值,有哪几边？|价值交换是什么？|如何吸引每一侧？|有哪些网络效应？|收入模式是什么？|如何治理？
